risk_value,date,daily_variation,percent_change,trend
803,2000-11-15,-23.0,-2.784503631961255,Decrease
834,2000-11-16,31.0,3.8605230386052236,Increase
841,2000-11-17,7.0,0.8393285371702586,Increase
813,2000-11-20,-28.0,-3.3293697978596937,Decrease
823,2000-11-21,10.0,1.2300123001230068,Increase
845,2000-11-22,22.0,2.6731470230862753,Increase
863,2000-11-23,18.0,2.130177514792897,Increase
840,2000-11-24,-23.0,-2.665121668597914,Decrease
852,2000-11-27,12.0,1.4285714285714235,Increase
865,2000-11-28,13.0,1.5258215962441257,Increase
848,2000-11-29,-17.0,-1.965317919075149,Decrease
855,2000-11-30,7.0,0.8254716981132004,Increase
848,2000-12-01,-7.0,-0.8187134502923965,Decrease
845,2000-12-04,-3.0,-0.3537735849056589,Decrease
841,2000-12-05,-4.0,-0.4733727810650845,Decrease
833,2000-12-06,-8.0,-0.9512485136741966,Decrease
822,2000-12-07,-11.0,-1.3205282112845107,Decrease
812,2000-12-08,-10.0,-1.2165450121654486,Decrease
794,2000-12-11,-18.0,-2.2167487684729092,Decrease
810,2000-12-12,16.0,2.015113350125941,Increase
824,2000-12-13,14.0,1.7283950617283939,Increase
830,2000-12-14,6.0,0.728155339805836,Increase
813,2000-12-15,-17.0,-2.048192771084334,Decrease
805,2000-12-18,-8.0,-0.9840098400983988,Decrease
777,2000-12-19,-28.0,-3.4782608695652195,Decrease
790,2000-12-20,13.0,1.6731016731016624,Increase
791,2000-12-21,1.0,0.12658227848101333,Increase
779,2000-12-22,-12.0,-1.5170670037926715,Decrease
772,2000-12-26,-7.0,-0.898587933247752,Decrease
769,2000-12-27,-3.0,-0.38860103626943143,Decrease
765,2000-12-28,-4.0,-0.5201560468140465,Decrease
766,2000-12-29,1.0,0.13071895424836555,Increase
792,2001-01-02,26.0,3.394255874673635,Increase
728,2001-01-03,-64.0,-8.080808080808078,Decrease
727,2001-01-04,-1.0,-0.13736263736263687,Decrease
740,2001-01-05,13.0,1.7881705639614776,Increase
737,2001-01-08,-3.0,-0.40540540540540126,Decrease
720,2001-01-09,-17.0,-2.3066485753052923,Decrease
712,2001-01-10,-8.0,-1.1111111111111072,Decrease
706,2001-01-11,-6.0,-0.8426966292134797,Decrease
695,2001-01-12,-11.0,-1.5580736543909346,Decrease
696,2001-01-15,1.0,0.14388489208632116,Increase
701,2001-01-16,5.0,0.7183908045977017,Increase
691,2001-01-17,-10.0,-1.4265335235377985,Decrease
696,2001-01-18,5.0,0.723589001447178,Increase
700,2001-01-19,4.0,0.5747126436781658,Increase
691,2001-01-22,-9.0,-1.28571428571429,Decrease
678,2001-01-23,-13.0,-1.881331403762665,Decrease
676,2001-01-24,-2.0,-0.2949852507374673,Decrease
683,2001-01-25,7.0,1.0355029585798814,Increase
